inventory_id,warehouse_id,item_id,item_name,item_category,quantity_available,last_stock_update
INV-WH001-ITEM001,WH001,ITEM001,Vaccines,Medical,1412,2026-06-01
INV-WH001-ITEM002,WH001,ITEM002,Therapeutic Food Packs,Nutrition,704,2026-06-01
INV-WH001-ITEM003,WH001,ITEM003,Water Purification Tablets,WASH,2753,2026-06-01
INV-WH001-ITEM004,WH001,ITEM004,Emergency Shelter Kits,Shelter,2506,2026-06-01
INV-WH001-ITEM005,WH001,ITEM005,School-in-a-Box Kits,Education,2328,2026-06-01
INV-WH002-ITEM001,WH002,ITEM001,Vaccines,Medical,1643,2026-06-01
INV-WH002-ITEM002,WH002,ITEM002,Therapeutic Food Packs,Nutrition,1339,2026-06-01
INV-WH002-ITEM003,WH002,ITEM003,Water Purification Tablets,WASH,4967,2026-06-01
INV-WH002-ITEM004,WH002,ITEM004,Emergency Shelter Kits,Shelter,1212,2026-06-01
INV-WH002-ITEM005,WH002,ITEM005,School-in-a-Box Kits,Education,3956,2026-06-01
INV-WH003-ITEM001,WH003,ITEM001,Vaccines,Medical,760,2026-06-01
INV-WH003-ITEM002,WH003,ITEM002,Therapeutic Food Packs,Nutrition,744,2026-06-01
INV-WH003-ITEM003,WH003,ITEM003,Water Purification Tablets,WASH,1267,2026-06-01
INV-WH003-ITEM004,WH003,ITEM004,Emergency Shelter Kits,Shelter,2291,2026-06-01
INV-WH003-ITEM005,WH003,ITEM005,School-in-a-Box Kits,Education,2405,2026-06-01
INV-WH004-ITEM001,WH004,ITEM001,Vaccines,Medical,4639,2026-06-01
INV-WH004-ITEM002,WH004,ITEM002,Therapeutic Food Packs,Nutrition,717,2026-06-01
INV-WH004-ITEM003,WH004,ITEM003,Water Purification Tablets,WASH,2128,2026-06-01
INV-WH004-ITEM004,WH004,ITEM004,Emergency Shelter Kits,Shelter,4964,2026-06-01
INV-WH004-ITEM005,WH004,ITEM005,School-in-a-Box Kits,Education,3936,2026-06-01
INV-WH005-ITEM001,WH005,ITEM001,Vaccines,Medical,2305,2026-06-01
INV-WH005-ITEM002,WH005,ITEM002,Therapeutic Food Packs,Nutrition,4179,2026-06-01
INV-WH005-ITEM003,WH005,ITEM003,Water Purification Tablets,WASH,2778,2026-06-01
INV-WH005-ITEM004,WH005,ITEM004,Emergency Shelter Kits,Shelter,553,2026-06-01
INV-WH005-ITEM005,WH005,ITEM005,School-in-a-Box Kits,Education,1807,2026-06-01
